rank,ingredient,score,is_breakout,is_new,growth_pct,mean_recent,acceleration,sustained,source,discovered_context,kalodata_url,google_trends_url
30,emma gut,7.27,False,True,8.33,3.25,-0.07,False,trends,emma gut health,https://www.kalodata.com/product?keyword=emma+gut,https://trends.google.com/trends/explore?q=emma+gut
31,calcium,6.91,False,True,0.0,3.25,0.2,False,trends,calcium supplement,https://www.kalodata.com/product?keyword=calcium,https://trends.google.com/trends/explore?q=calcium
32,creatine,6.55,False,True,-4.0,3.0,-0.06,False,trends,creatine supplement,https://www.kalodata.com/product?keyword=creatine,https://trends.google.com/trends/explore?q=creatine
33,probiotics gut,6.5,False,False,0.0,2.0,0.0,False,trends,probiotics gut health,https://www.kalodata.com/product?keyword=probiotics+gut,https://trends.google.com/trends/explore?q=probiotics+gut
34,urolithin a,6.5,False,True,0.0,2.0,0.0,False,trends,urolithin a,https://www.kalodata.com/product?keyword=urolithin+a,https://trends.google.com/trends/explore?q=urolithin+a
35,alpha gpc,6.46,False,True,-8.11,4.25,-0.25,False,trends,alpha gpc,https://www.kalodata.com/product?keyword=alpha+gpc,https://trends.google.com/trends/explore?q=alpha+gpc
36,magnesium,6.38,False,False,0.0,1.0,0.0,False,trends,magnesium,https://www.kalodata.com/product?keyword=magnesium,https://trends.google.com/trends/explore?q=magnesium
37,fiber,6.38,False,False,0.0,1.0,0.0,False,trends,fiber supplement,https://www.kalodata.com/product?keyword=fiber,https://trends.google.com/trends/explore?q=fiber
38,probiotic,6.38,False,True,0.0,1.0,0.0,False,trends,probiotic supplement,https://www.kalodata.com/product?keyword=probiotic,https://trends.google.com/trends/explore?q=probiotic
39,laird superfood,6.38,False,False,0.0,1.0,0.0,False,trends,laird superfood,https://www.kalodata.com/product?keyword=laird+superfood,https://trends.google.com/trends/explore?q=laird+superfood
40,superfood cleanser,6.38,False,False,0.0,1.0,0.0,False,trends,superfood cleanser,https://www.kalodata.com/product?keyword=superfood+cleanser,https://trends.google.com/trends/explore?q=superfood+cleanser
41,elemis superfood,6.38,False,False,0.0,1.0,0.0,False,trends,elemis superfood,https://www.kalodata.com/product?keyword=elemis+superfood,https://trends.google.com/trends/explore?q=elemis+superfood
42,superfood smoothie,6.38,False,True,0.0,1.0,0.0,False,trends,superfood smoothie,https://www.kalodata.com/product?keyword=superfood+smoothie,https://trends.google.com/trends/explore?q=superfood+smoothie
43,longevity meaning,6.38,False,True,0.0,1.0,0.0,False,trends,longevity meaning,https://www.kalodata.com/product?keyword=longevity+meaning,https://trends.google.com/trends/explore?q=longevity+meaning
44,nootropic pouches,6.33,False,True,-15.15,7.0,-0.64,False,trends,nootropic pouches,https://www.kalodata.com/product?keyword=nootropic+pouches,https://trends.google.com/trends/explore?q=nootropic+pouches
45,adaptogen,6.3,False,True,-11.11,1.0,-0.06,False,trends,what is adaptogen,https://www.kalodata.com/product?keyword=adaptogen,https://trends.google.com/trends/explore?q=adaptogen
46,nicotine nootropic,6.14,False,True,-14.29,0.75,-0.16,False,trends,nicotine nootropic,https://www.kalodata.com/product?keyword=nicotine+nootropic,https://trends.google.com/trends/explore?q=nicotine+nootropic
47,ultra pouches,6.04,False,True,0.0,20.75,-4.66,True,trends,ultra pouches,https://www.kalodata.com/product?keyword=ultra+pouches,https://trends.google.com/trends/explore?q=ultra+pouches
48,adaptogen whey,5.97,False,True,-25.0,0.75,-0.3,False,trends,adaptogen whey,https://www.kalodata.com/product?keyword=adaptogen+whey,https://trends.google.com/trends/explore?q=adaptogen+whey
49,nze pouches,5.89,False,True,0.0,5.0,-0.79,False,trends,nze pouches,https://www.kalodata.com/product?keyword=nze+pouches,https://trends.google.com/trends/explore?q=nze+pouches
50,adaptogen chocomaltine,5.87,False,True,-60.0,0.5,-0.35,False,trends,adaptogen chocomaltine,https://www.kalodata.com/product?keyword=adaptogen+chocomaltine,https://trends.google.com/trends/explore?q=adaptogen+chocomaltine
51,garnier superfood,5.86,False,True,-14.29,0.75,-0.38,False,trends,garnier superfood,https://www.kalodata.com/product?keyword=garnier+superfood,https://trends.google.com/trends/explore?q=garnier+superfood
52,nootropic source,2.72,False,True,-50.0,0.25,0.42,False,trends,nootropic source,https://www.kalodata.com/product?keyword=nootropic+source,https://trends.google.com/trends/explore?q=nootropic+source
53,raw superfood,2.67,False,True,-33.33,0.25,0.31,False,trends,raw superfood,https://www.kalodata.com/product?keyword=raw+superfood,https://trends.google.com/trends/explore?q=raw+superfood
54,jellyfil,2.5,False,True,0.0,0.0,0.0,False,trends,jellyfil supplement,https://www.kalodata.com/product?keyword=jellyfil,https://trends.google.com/trends/explore?q=jellyfil
55,kiolopobgofit,2.5,False,True,0.0,0.0,0.0,False,trends,about kiolopobgofit supplement,https://www.kalodata.com/product?keyword=kiolopobgofit,https://trends.google.com/trends/explore?q=kiolopobgofit
56,lorizxahofdiavie,2.5,False,True,0.0,0.0,0.0,False,trends,is lorizxahofdiavie supplement,https://www.kalodata.com/product?keyword=lorizxahofdiavie,https://trends.google.com/trends/explore?q=lorizxahofdiavie
57,dietary,2.5,False,False,0.0,0.0,0.0,False,trends,dietary supplement,https://www.kalodata.com/product?keyword=dietary,https://trends.google.com/trends/explore?q=dietary
58,collagen,2.5,False,True,0.0,0.0,0.0,False,trends,collagen,https://www.kalodata.com/product?keyword=collagen,https://trends.google.com/trends/explore?q=collagen
59,superfood greens,2.5,False,True,0.0,0.0,0.0,False,trends,superfood greens,https://www.kalodata.com/product?keyword=superfood+greens,https://trends.google.com/trends/explore?q=superfood+greens
60,superfood complete,2.5,False,True,0.0,0.0,0.0,False,trends,superfood complete,https://www.kalodata.com/product?keyword=superfood+complete,https://trends.google.com/trends/explore?q=superfood+complete
